timestamp,ee_x,ee_y,ee_z,pose_6d_0,pose_6d_1,pose_6d_2,pose_6d_3,pose_6d_4,pose_6d_5,gripper,obj_x,obj_y,obj_z
1772596717.721894,0.1618005283127226,-0.07845803627833797,0.504865575975503,0.9400679473741598,-0.22210857948953913,0.25872772027147156,-0.20452249811288856,-0.9743986365416546,-0.09336940008069042,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596717.7659342,0.16180024193048317,-0.07846444577765727,0.5048719390772762,0.9400636540834063,-0.2221201924418504,0.25873334995889025,-0.20453329871750273,-0.9743960234112093,-0.09337301149775099,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596717.8098168,0.16180684494172642,-0.07845963309779203,0.5048635415766541,0.9400756363130428,-0.22212172044388978,0.258688498618849,-0.2045567047520755,-0.9743979081219521,-0.09330204278865456,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596717.8099651,0.16180684494172642,-0.07845963309779203,0.5048635415766541,0.9400756363130428,-0.22212172044388978,0.258688498618849,-0.2045567047520755,-0.9743979081219521,-0.09330204278865456,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596717.8543599,0.16180238272463082,-0.07847179298766187,0.5048806634564647,0.9400550953477026,-0.22214491531716196,0.2587432207992179,-0.2045683556257753,-0.9743919730863614,-0.0933384736399409,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596717.868358,0.16180238272463082,-0.07847179298766187,0.5048806634564647,0.9400550953477026,-0.22214491531716196,0.2587432207992179,-0.2045683556257753,-0.9743919730863614,-0.0933384736399409,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596717.90982,0.16180620078791774,-0.07846738544119432,0.5048752600792421,0.9400638348993909,-0.22213483011775303,0.25872012593304017,-0.20456450190570352,-0.9743947171757431,-0.0933182709873869,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596717.9538882,0.16180203395084447,-0.07847059089998365,0.5048857531115054,0.9400511668936178,-0.22214577004836492,0.25875675927706066,-0.20457136072505258,-0.9743922288730544,-0.09332921666285277,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596717.998379,0.1618031445981313,-0.07846804162634373,0.5048837492720005,0.9400567263651994,-0.2221344148911902,0.258746309995898,-0.20456322492877035,-0.9743950310623212,-0.09331779277179558,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596718.041839,0.1618025360268769,-0.07847189853638833,0.5048845665199708,0.9400539565612087,-0.22214381536069028,0.2587483025076934,-0.2045692163438586,-0.9743925320690774,-0.09333075148348244,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596718.041997,0.1618025360268769,-0.07847189853638833,0.5048845665199708,0.9400539565612087,-0.22214381536069028,0.2587483025076934,-0.2045692163438586,-0.9743925320690774,-0.09333075148348244,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596718.0858023,0.16180138313070666,-0.07846819705500171,0.5048830965609299,0.9400544629808971,-0.222143290476445,0.2587469132685353,-0.2045723758181266,-0.9743931010247895,-0.09331788535656638,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596718.1014533,0.16180385126298968,-0.07846788776314162,0.5048831614656266,0.9400550502130104,-0.22213971817424932,0.25874784671274054,-0.20456835186401978,-0.9743938492758563,-0.09331889363370618,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1772596718.142338,0.16180484031950867,-0.07846695127811805,0.5048816593059968,0.9400600938281604,-0.2221279302575084,0.2587396424812141,-0.20455774639422572,-0.9743965162481499,-0.09331429426184012,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
