timestamp,ee_x,ee_y,ee_z,pose_6d_0,pose_6d_1,pose_6d_2,pose_6d_3,pose_6d_4,pose_6d_5,gripper,obj_x,obj_y,obj_z
1768361496.7202892,0.35423266797146913,0.11927250428819718,0.4227874611048359,0.9445883167895182,-0.28612953048660017,0.1608813338093099,-0.2881879351518807,-0.9575118403096194,-0.010899068757525535,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1768361496.7645183,0.3542345524937918,0.11927517482634845,0.422790091832963,0.9445871667558745,-0.28613024880011007,0.16088680841416703,-0.2881883300280411,-0.9575116831384256,-0.010902435006356929,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1768361496.8083093,0.3542345524937918,0.11927517482634845,0.422790091832963,0.9445871667558745,-0.28613024880011007,0.16088680841416703,-0.2881883300280411,-0.9575116831384256,-0.010902435006356929,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1768361496.8520832,0.3542345524937918,0.11927517482634845,0.422790091832963,0.9445871667558745,-0.28613024880011007,0.16088680841416703,-0.2881883300280411,-0.9575116831384256,-0.010902435006356929,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1768361496.852186,0.3542345524937918,0.11927517482634845,0.422790091832963,0.9445871667558745,-0.28613024880011007,0.16088680841416703,-0.2881883300280411,-0.9575116831384256,-0.010902435006356929,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1768361496.8961735,0.35423908287291384,0.11927884774213417,0.42280664779678717,0.944584355128762,-0.28612184503336757,0.16091825825767173,-0.2881785902267292,-0.957514443844542,-0.010917415628842306,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1768361496.9113765,0.3542371835916431,0.11928559478163338,0.4228103629477547,0.9445866747658812,-0.2861088729705454,0.16092770632262338,-0.28816546817281036,-0.9575183699539495,-0.010919439247378671,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1768361496.9521503,0.3542375836577284,0.11928515323419547,0.42280813746199797,0.9445864164187915,-0.28611129499261967,0.16092491663739286,-0.2881684278658059,-0.9575175227349709,-0.010915623520173915,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1768361496.9961493,0.3542382518427844,0.11928481100348436,0.4228115834437688,0.9445852760349396,-0.2861121879946828,0.16093002261508763,-0.28816905729793724,-0.9575173000291801,-0.010918542066026986,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1768361497.0401013,0.35423949897809026,0.11928315398423213,0.42281167770481237,0.9445836639560509,-0.28611800631914436,0.16092914045417755,-0.2881736852685262,-0.9575158186084339,-0.010926309229414686,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1768361497.0840771,0.3542405013393721,0.11928419891150456,0.42281581347082875,0.9445845104455359,-0.28611210761471506,0.16093465910931953,-0.28816734968546553,-0.9575176851874279,-0.010929827471846048,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1768361497.0841982,0.3542405013393721,0.11928419891150456,0.42281581347082875,0.9445845104455359,-0.28611210761471506,0.16093465910931953,-0.28816734968546553,-0.9575176851874279,-0.010929827471846048,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
1768361497.1280925,0.35424154399943814,0.1192877446710296,0.4228264097226601,0.9445805679791522,-0.28611209326363124,0.16095782268807468,-0.2881672147476408,-0.9575176556970025,-0.010935966948737233,3,0.48072949605208243,-0.04797794031182588,0.1094363041528675
